CD41_APCH7,MICB_647,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,CD42_BV605,Colony
"11,819",-51,-40,-217,1,900,449,546,0
"8,854",-127,-269,436,-142,"1,397","2,795","6,667",0
"4,038",64,-61,710,331,902,335,349,0
"8,860",-14,-217,700,-22,"1,100",70,"1,336",0
"5,915",147,-72,32,21,712,99,"4,068",0
"5,568",-41,-25,206,153,"1,001",309,"6,036",0
"8,640",-9,-107,-115,125,"1,070",649,"2,682",0
"9,976",199,252,54,830,-336,"1,684","4,558",0
"4,981",233,-195,380,-72,"1,168",226,493,0
"10,500",-27,-344,-99,-212,"1,713","1,511","8,287",0
26,67,14,47,196,269,664,151,0
"2,274",40,-15,878,144,841,"1,331",171,0
"14,498",-139,62,-193,241,291,694,"12,672",0
"11,140",223,-268,"1,288",-40,"1,714",423,394,0
"1,209",270,-160,"1,977",-171,959,697,-18,0
"1,208",-24,-169,"1,744",22,"1,012","1,151",-71,0
"16,082",48,-177,757,180,"2,735","6,743","5,325",0
"4,363",-34,-128,127,119,689,-150,630,0
"6,456",50,-107,211,49,789,"1,163","1,343",0
"1,086",81,-162,943,-72,"1,058",527,-49,0
"5,877",-142,-312,-18,-349,"1,856",708,"2,585",0
"8,256",-5,183,-79,580,459,"3,676","9,768",0
"9,894",126,-236,169,-61,"1,546",671,"4,223",0
"8,990",40,21,105,137,216,"1,031","3,068",0
"5,707",-133,-103,34,-78,935,"1,170","4,715",0
"4,560",38,-137,132,68,"1,174",720,862,0
"5,904",153,-115,562,341,"1,179",366,924,0
"2,804",63,-111,573,36,641,-13,660,0
"5,712",-50,-251,"1,390",676,"1,653","1,705",756,0
"7,880",-61,-232,56,430,"1,416",241,"9,408",0
"8,539",538,-74,"1,985",821,"1,657","7,920","10,592",0
"7,549",400,179,325,435,-105,"1,206","4,826",0
"3,264",118,-214,"4,590",-181,"1,327","1,013",-43,0
"6,213",7,-34,191,16,643,"1,594","5,757",0
"14,258",-135,-227,-158,56,"1,391",837,"2,831",0
"2,102",199,-110,"1,478",187,762,468,-3,0
"10,129",122,52,553,365,-68,189,"6,327",0
"11,894",242,-249,708,660,"1,566","1,100","6,863",0
"10,266",-38,-367,603,-226,"1,824",592,"4,220",0
"20,242",299,-338,"1,189",401,"2,474","5,247","1,519",0
"7,078",205,-123,877,485,"1,137","3,977",182,0
"2,910",204,-167,"1,012",-61,987,731,-1,0
"3,562",-252,-194,"1,146",-42,"1,257",604,277,0
"5,010",-28,-287,127,-320,"1,584",497,"2,159",0
"9,785",36,139,262,370,-104,"2,084","6,521",0
"3,237",100,10,-19,70,223,468,"3,693",0
"11,872",303,211,906,600,-596,"2,239","10,595",0
"7,905",-29,40,-67,183,126,407,"2,408",0
"5,494",-5,-121,499,211,915,848,"1,079",0
"4,787",144,-217,626,-78,"1,227",715,258,0
"6,534",222,531,-10,746,-696,988,"8,563",0
