CD41_APCH7,PLVAP_APC,MICB_PE,Zombie,CD42_BV605,PVR_PECy7,Colony
620,209,633,370,"15,349","1,266",0
425,168,463,428,"7,271",839,0
"1,293",713,337,470,"24,217",304,0
"1,499","1,404",326,"1,955","45,683",758,0
"2,341",995,155,631,"27,343",119,0
2,83,21,11,234,134,0
5,35,335,196,185,838,0
457,77,670,383,"8,030","1,285",0
"1,141",105,715,189,395,"2,092",0
286,71,450,249,499,719,0
"1,674",192,178,"1,098","5,181",28,0
"1,509",808,371,86,"23,874",305,0
"1,404",520,510,271,"16,997",539,0
771,365,254,452,"12,570",67,0
333,118,348,234,"11,807",226,0
"1,351",92,630,257,"1,127","1,470",0
992,256,307,309,"5,250",856,0
857,455,478,171,"2,952",559,0
197,101,190,375,"15,354",48,0
840,33,220,337,366,720,0
"1,732",375,266,801,"10,097",107,0
882,305,205,383,"19,238",22,0
449,304,879,290,"24,440",704,0
241,90,862,408,"19,915",791,0
120,38,110,151,270,354,0
"1,236",677,"2,247",435,"10,377",239,0
"1,081",301,155,406,"2,274",194,0
448,142,62,598,"20,241",0,0
554,111,754,391,"11,487","1,091",0
269,63,650,150,"1,650",915,0
52,60,199,702,694,383,0
"1,164",169,186,340,"2,913",569,0
"1,301",97,367,671,761,579,0
445,126,834,222,833,859,0
620,425,164,291,"25,418",-105,0
"2,633",243,123,522,"1,517",601,0
612,181,685,605,"8,977","1,339",0
"1,863",213,349,215,788,"1,017",0
398,82,272,359,"8,288",190,0
879,503,395,193,"55,034",76,0
59,31,114,106,668,173,0
"1,554",552,339,430,"15,367",307,0
"1,511",137,183,665,"4,137",371,0
919,98,131,535,873,150,0
996,611,"1,025",177,"27,038",989,0
652,483,470,419,"24,665",644,0
728,136,956,254,"2,684","1,879",0
34,39,271,143,269,643,0
221,137,780,272,213,880,0
612,213,143,485,"5,246",318,0
4,0,307,178,103,498,1
791,282,130,538,"18,550",136,0
520,213,6,761,"12,872",71,0
"1,113",248,357,367,"7,451","1,256",0
412,72,172,400,"3,581",547,0
600,249,382,206,"1,140",527,0
326,33,"1,268",201,"1,259","1,545",1
"1,130",447,443,286,"7,809",491,0
530,354,178,765,"6,473",92,0
607,159,228,944,"9,752",144,0
"1,271",368,659,233,"15,165",798,0
589,373,726,236,"7,233","1,128",0
551,210,379,220,"38,834",314,0
"3,442",919,304,422,"15,761",590,0
482,320,464,370,"26,819",241,0
"1,171",152,726,418,579,"1,274",0
399,145,586,260,"7,960",428,0
704,66,284,388,548,460,0
839,141,244,351,996,414,0
590,113,117,103,"4,411",-94,0
911,672,601,24,"49,416",379,0
403,132,246,325,"11,205",54,0
"1,865",205,101,919,"13,768",-71,0
51,36,422,394,965,231,0
730,505,207,768,"25,909",407,0
421,144,716,192,"5,332",768,0
"1,861",465,703,416,"8,231",463,0
442,150,862,267,"5,251",792,0
"1,613",837,"1,090",252,"22,181",501,0
507,118,207,300,"4,283",310,0
833,304,204,261,"12,975",181,0
405,104,263,489,"12,380",208,0
"1,216",103,115,822,"2,094",445,0
"1,296",753,208,362,"28,994",659,0
"1,312",100,394,510,"1,390",626,0
626,233,417,406,"15,057","1,024",0
304,63,862,273,470,"2,301",0
"1,420",325,914,415,"4,657","1,138",0
517,40,466,194,243,"1,904",0
"2,010",745,246,473,"20,494","1,020",0
786,118,149,232,211,239,0
66,18,756,202,321,216,0
"1,156",193,428,251,"4,538",778,0
292,88,212,458,389,395,0
"1,002",391,700,404,"21,125","1,021",0
129,97,393,453,"16,057","1,381",0
61,46,204,194,440,176,0
544,198,735,322,"3,632","1,018",0
395,94,957,231,"1,711","2,025",0
435,93,502,252,"7,345",699,0
794,413,104,945,"22,670",167,0
"1,478",313,416,"1,064","2,804",388,0
815,117,341,956,"1,650",630,0
"2,253","1,316",41,996,"37,554","2,798",0
"1,321",154,324,905,"2,772",710,0
806,303,282,890,"6,558",587,0
95,11,215,304,412,442,0
367,211,247,"1,158","28,438",8,0
498,96,165,902,"1,797",35,0
409,101,374,166,544,433,0
28,26,278,146,184,231,0
401,59,760,289,616,"1,374",1
774,59,525,309,305,950,0
799,476,479,604,"11,106",499,0
"1,628",623,509,453,"24,481",772,0
"1,481",538,"1,064",166,"9,742","1,222",0
316,231,"1,047",297,345,744,0
"3,783","1,938",447,367,"8,922",728,1
364,206,104,"1,605","11,618",51,0
"8,716",-304,587,357,"1,733",812,0
737,300,836,141,"5,692","1,131",0
519,446,426,554,"32,652",252,0
"1,264",643,164,239,"7,440",299,0
135,5,382,377,524,266,0
196,63,399,248,433,554,0
796,221,55,690,"6,964",101,0
312,105,"1,043",240,"1,390","1,501",1
"1,002",228,856,248,"3,813","1,345",0
597,102,185,484,"1,284",723,0
247,137,516,119,"9,476",625,0
"1,006",230,266,294,"3,226",940,0
"1,185",215,299,"1,057","1,286",392,0
"1,671",875,750,192,"8,364","1,002",0
992,202,437,120,"5,581",305,0
420,261,"1,056",778,"13,235",239,0
847,202,178,928,"12,552",218,0
600,317,507,657,"36,980",635,0
"1,050",460,838,355,"10,814",891,0
"1,023",237,143,579,"10,716",632,0
39,48,256,292,271,747,0
379,106,"1,053",321,"7,521",801,0
"1,055",197,384,260,"4,252",451,0
365,15,524,445,506,"1,293",1
"2,866",156,299,358,974,724,0
503,205,222,950,"7,359",262,0
"1,828",345,326,377,"12,979",457,0
284,145,"1,004",197,"4,518",756,0
179,143,553,403,"16,240",553,0
761,110,208,126,"1,262",449,0
600,281,922,367,"10,154","1,391",0
923,213,"1,089",316,"3,205","1,876",0
367,184,591,175,"6,448",589,0
"1,328",227,150,"1,032","4,229",-41,0
114,88,504,245,59,579,0
-8,25,200,86,157,291,0
721,267,834,"1,507","13,133","1,460",0
849,185,923,436,"10,072","1,274",0
"1,135",543,299,365,"27,271",32,0
"1,507",981,416,"1,025","42,938",-18,0
953,240,567,299,"11,325",696,0
412,114,590,211,"10,693",887,0
570,94,171,374,"8,650",535,0
"2,076",799,472,803,"41,561",636,0
291,151,426,240,"25,201",380,0
14,47,702,164,231,879,0
"3,607","1,648","2,969",567,"11,354","2,878",0
274,44,390,259,288,"1,446",0
333,76,381,366,"4,903",799,0
"2,375",916,103,727,"16,840",144,0
"1,653","1,647",287,536,"19,522",256,0
492,141,435,374,"2,541",694,0
379,79,"1,170",221,"1,619",777,0
367,116,663,426,"8,923",473,0
"1,231",956,276,642,"29,944",502,0
