CIP2A_APC,CD41_APCH,CD42_BV605,Vimentin_488,PVR_PECy7,MICB_PE,Zombie,Colony
33,1189,391,359,2152,705,730,0
82,21748,5117,982,2993,493,1749,0
60,33761,32184,787,4178,605,299,0
54,2016,942,783,3046,524,1446,0
-11,5832,741,606,2646,511,953,0
26,314,329,345,3149,410,690,0
10,7832,675,609,2854,683,1084,0
33,17160,5682,472,2931,470,846,0
-4,15555,6696,252,2243,523,51,0
67,25866,9821,766,3550,669,767,0
117,15910,9606,593,2735,660,672,0
32,5357,562,507,3181,372,658,0
103,22471,1710,764,3116,832,1119,0
18,337,507,333,3139,436,683,0
1,29836,12080,570,2611,804,316,0
45,1917,494,419,2686,381,789,0
39,24923,9354,1114,4311,511,666,0
60,28442,8071,1398,2510,505,1255,0
29,1552,334,428,2587,454,830,0
163,4132,1558,1529,2448,489,2020,0
75,39123,15491,1015,5129,732,841,0
48,20350,6492,1989,2552,480,1073,0
86,1507,1040,919,3298,809,1045,0
11,16272,8883,496,2116,401,346,0
50,4390,761,513,2168,456,835,0
35,23211,12010,518,2372,428,514,0
20,3874,639,462,2783,591,778,0
92,9678,1270,1068,3375,431,2198,0
81,3253,864,931,3433,578,1346,0
31,5564,659,413,2381,825,682,0
30,658,596,541,2331,928,931,0
32,22135,4557,729,2267,846,1059,0
49,15585,1294,781,2185,538,1205,0
73,3436,1295,1000,2886,578,1547,0
118,10672,2854,1353,3591,1317,2093,0
17,17188,3949,5934,2544,608,1606,0
26,2093,702,659,2928,613,911,0
29,22294,4169,848,6694,633,1435,0
43,3861,593,577,2392,433,896,0
-6,8285,734,488,2631,512,830,0
32,31655,19633,318,2627,1213,-78,0
111,6874,1874,1694,4853,576,2730,0
46,6401,780,752,2579,598,1779,0
43,25766,10904,374,2163,725,151,0
120,19544,1717,1403,3477,1322,1754,0
99,1496,1078,1001,2624,776,1392,0
31,17476,2842,533,2629,395,861,0
57,4909,497,430,2329,444,556,0
12,11059,403,388,3100,738,888,0
6,1356,448,463,2774,707,847,0
36,38131,22160,523,2513,460,-247,0
3,19075,509,389,2886,955,600,0
14,11957,3747,467,2334,402,594,0
54,18315,1120,898,2301,772,1819,0
49,22850,14784,1274,3610,404,1421,0
28,32392,18521,1185,2440,541,856,0
83,40057,4220,1265,5083,1873,1441,0
6,2530,442,447,2571,841,672,0
48,4816,860,891,4177,535,1471,0
42,5218,642,608,4571,535,1096,0
12,17827,3554,493,3008,538,770,0
27,6669,464,400,3191,693,783,0
54,2854,476,437,3268,383,603,0
54,5643,872,983,3942,444,1289,0
9,5620,922,745,3158,1589,1161,0
52,4153,476,360,2557,884,609,0
43,22724,26687,674,2180,659,504,0
-10,21910,5196,400,2219,532,289,0
31,6244,371,203,3498,687,444,0
6,10934,2919,168,2213,412,354,0
38,43753,27631,356,3261,380,-239,0
97,7280,1036,874,2362,740,1498,0
193,10052,2178,2154,4214,875,2999,0
44,5918,1039,879,4877,618,1402,0
-4,3567,373,299,2499,674,688,0
-13,584,414,204,2459,567,401,0
11,511,550,533,3096,480,993,0
11,1896,456,332,2124,435,539,0
20,14671,3112,613,2377,397,1331,0
10,6755,875,451,2786,463,1153,0
89,21220,9846,728,2255,491,1023,0
25,23686,6122,529,3064,705,950,0
77,987,830,756,2280,675,1454,0
39,6677,690,671,2496,370,1033,0
34,6129,574,485,2245,553,755,0
8,5950,452,328,2229,477,575,0
81,29055,28142,1108,3572,726,790,0
52,13904,4026,1057,4561,680,2635,0
19,4084,308,259,2513,1050,552,0
52,4449,1106,793,2133,374,1737,0
41,3103,708,594,2503,713,927,0
26,1023,562,415,2649,396,762,0
114,12130,1531,1682,2926,742,3736,0
47,3585,639,412,2665,477,693,0
32,8953,4211,645,3009,982,549,0
14,11939,1129,527,3130,520,839,0
61,18112,1622,615,3574,428,986,0
57,33199,12039,1012,2506,433,920,0
-7,12881,1626,282,2653,524,667,0
47,6374,883,796,2528,666,1309,0
22,11023,997,767,2695,365,1186,0
18,97,967,784,2441,475,1015,0
36,7975,360,417,2297,566,589,0
28,15208,5456,671,2965,422,826,0
212,20891,14061,2616,3246,810,1330,0
74,17347,4974,923,3037,706,1736,0
66,16783,6046,1030,2276,518,1015,0
91,4989,640,608,3234,496,1022,0
41,1957,839,784,2787,445,1004,0
100,28088,10671,774,2549,563,1084,0
44,20243,3051,371,2142,401,464,0
116,47536,16462,1744,2300,1009,2076,0
15,848,665,528,3756,518,1101,0
34,27828,4268,278,2225,703,419,0
