Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
A1,1,"99,606","140,794","49,898","-1,298","1,023",225,221,330,"15,442",-58,"19,138",N
A2,1,"99,973","128,750","23,490","3,575",149,725,173,272,"14,348",275,790,N
A3,1,"120,868","151,157","39,247","2,356",326,512,219,378,"5,716",337,"2,617",N
A4,1,"102,614","131,426","25,258",845,263,222,-43,256,"2,183",349,314,N
A5,1,"100,118","141,113","27,899","2,108",293,516,40,25,"14,543",546,"3,733",N
A6,1,"100,516","144,889","27,993","1,628","1,118",895,23,350,"14,247",578,"2,364",N
A7,1,"81,379","121,462","20,254","1,259",65,321,81,164,"8,223",365,702,N
A8,1,"104,520","127,815","43,703",568,546,555,238,924,"3,245",408,"1,243",N
A9,1,"86,060","129,109","44,732",-836,677,620,120,238,"24,258",527,"6,034",N
A10,1,"80,600","122,103","32,947",-230,562,377,-109,324,"16,211",188,"4,719",N
A11,1,"80,417","123,722","22,599",306,806,284,195,252,"13,245",337,"5,996",N
A12,1,"80,550","121,857","32,501","1,413",408,574,35,267,"18,299",308,"2,430",N
A13,1,"80,861","130,381","12,014",708,330,197,126,188,"3,140",157,363,N
A14,1,"94,501","154,460","45,325",818,616,581,160,564,"11,177",367,"3,860",N
A15,1,"112,760","152,217","43,426",-329,625,460,23,185,"21,858",217,"9,209",N
A16,1,"95,969","142,446","47,620","-1,324",544,476,-61,621,"19,884",368,"5,580",N
A17,1,"89,728","139,491","59,735",-153,"4,170",751,326,"1,369","17,693",463,"10,139",N
A18,1,"107,195","146,175","22,420","2,548",719,353,86,280,"13,823",464,319,N
A19,1,"108,295","139,457","25,153","1,519",516,888,-24,307,"8,982",269,569,N
A20,1,"69,354","101,465","14,924","1,021",150,162,30,162,"2,943",244,199,N
A21,1,"116,900","150,134","26,915",612,"1,289",742,-69,499,"18,479",849,"5,019",N
A22,1,"85,961","115,742","20,002","1,570",95,117,55,189,"1,431",312,272,N
A23,1,"126,864","178,170","74,783",-86,969,"1,257",540,"1,272","27,273",352,"10,672",N
A24,1,"145,368","188,292","59,443","-1,264",443,846,-30,639,"29,632",251,"14,295",N
B1,1,"73,518","108,027","22,745",883,78,226,99,357,"1,775",318,402,N
B2,1,"63,666","98,191","15,689",743,308,130,138,192,"1,906",257,253,N
B3,1,"90,336","132,310","28,697",-637,724,165,99,-48,"19,133",127,"11,212",N
B4,1,"107,971","154,501","15,073",-246,363,231,13,43,"11,435",182,"2,773",N
B5,1,"109,949","144,942","21,997","1,287",863,377,-120,184,"13,438",261,"2,366",N
B6,1,"111,405","137,423","21,879","1,729",145,569,-17,295,"2,951",300,417,N
B7,1,"81,476","136,832","67,406","-1,196","1,086","1,090",121,"1,608","23,731",803,"4,501",N
B8,1,"110,565","150,117","42,458","2,587",216,272,40,471,"3,121",967,586,N
B9,1,"109,445","140,783","25,599","1,879",731,561,138,277,"11,428",224,"3,342",N
B10,1,"121,961","158,875","32,312","2,717",765,830,3,694,"26,318","1,239","4,328",N
B11,1,"86,562","132,411","22,017",575,262,484,"1,427",709,"2,677",186,888,N
B12,1,"87,565","133,702","21,044","1,054",84,276,82,306,"8,012",162,447,N
B13,1,"106,331","144,443","30,309","1,686",-244,260,163,-154,"28,989",392,"8,467",N
B14,1,"77,501","131,189","21,800",818,152,796,181,298,"17,666",168,604,N
B15,1,"74,439","107,348","16,758","1,401",-39,136,136,135,"1,305",158,173,N
B16,1,"135,573","177,566","36,595","1,532",960,658,223,381,"13,630",284,"6,247",N
B17,1,"94,459","135,311","59,044",-711,316,444,50,795,"13,029",387,"5,648",N
B18,1,"76,351","138,776","24,785",-361,623,307,100,124,"18,977",255,"7,225",N
B19,1,"133,600","176,392","50,630","1,824",115,898,61,763,"18,001",372,"1,561",N
B20,1,"117,718","154,927","59,905",-981,249,435,57,409,"19,128",355,"6,541",N
B21,1,"89,162","121,747","35,058","1,149",-25,248,-59,395,"3,624",343,529,N
B22,1,"110,664","144,434","51,881",-310,"1,760",520,476,386,"16,713",-8,"14,717",N
B23,1,"97,897","133,235","25,319",983,816,474,197,295,"18,935",297,"2,207",N
B24,1,"108,507","154,603","28,565","1,267",525,533,228,190,"23,079",336,"7,008",N
C1,1,"87,041","149,798","74,466",521,"1,250","1,616",419,"1,191","27,457",563,"1,403",N
C2,1,"90,901","128,390","20,378","2,111",6,192,98,162,"1,464",322,288,N
C3,1,"100,446","124,995","20,607","1,674",486,359,176,230,"8,453",687,386,N
C4,1,"61,327","103,662","19,301",695,132,80,-10,177,144,153,161,N
C5,1,"106,445","155,783","44,629","-1,906",-503,745,123,517,"26,624",427,"5,763",N
C6,1,"130,831","167,690","35,194","2,374",95,689,75,410,"3,215",852,"2,242",N
C7,1,"115,665","141,324","27,505","2,450",417,714,-66,284,"5,107",349,"1,392",N
C8,1,"94,681","146,062","16,598","1,968",502,451,99,154,"8,451",749,"1,824",Y
C9,1,"97,162","127,678","18,425","1,268",176,254,-113,246,"6,493",158,271,N
C10,1,"84,158","112,740","19,855","1,441",220,195,106,305,"1,107",243,323,N
C11,1,"72,158","106,765","14,080","1,383",179,132,84,198,605,164,239,N
C12,1,"116,290","150,059","35,148",386,688,930,39,225,"16,506",270,"2,640",N
C13,1,"114,521","148,649","26,375","1,968",669,748,-44,243,"13,652",223,"1,517",N
C14,1,"87,252","121,144","24,627","2,275",520,371,97,104,"14,495",351,"5,187",N
C15,1,"100,836","132,718","20,625",874,575,329,51,122,"6,602",268,"1,543",N
C16,1,"109,349","144,378","38,801","2,909",173,343,165,416,"1,593",949,567,N
C17,1,"112,483","161,246","49,043","3,415","1,276",605,135,-121,"15,206",195,"15,427",N
C18,1,"85,331","119,564","27,488",288,625,863,-4,"1,273","5,335",468,"1,803",N
C19,1,"104,682","146,901","36,544",-20,854,513,93,226,"24,758",390,"9,290",N
C20,1,"98,437","131,302","19,923","1,407",286,349,107,-29,"13,335",478,"6,282",N
C21,1,"98,238","128,567","26,855",777,65,472,-18,310,"3,001",383,624,N
C22,1,"101,136","137,202","27,920",392,508,446,-29,121,"13,755",410,"3,072",N
C23,1,"99,513","145,807","26,229","3,749",876,569,46,208,"14,483",296,"3,810",Y
C24,1,"95,667","130,094","30,937","1,762",608,513,114,436,"10,984",198,370,N
D1,1,"100,826","133,694","19,106",712,656,548,-19,154,"11,478",276,"3,171",N
D2,1,"117,765","154,984","49,318","3,711",415,"3,357",260,"1,158","6,113","1,492","1,258",N
