PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie_violet,CIP2A_APCCy7,VEGFR1_594,CD42_BV605,Colony
"3,948","3,921",-103,"10,086",-583,"22,621","1,265","66,904",0
199,30,259,14,267,44,112,303,0
314,184,332,536,430,346,80,"19,911",0
888,70,293,200,383,177,72,535,0
575,91,"1,580",976,"1,115",585,626,"35,201",0
"3,570",229,775,364,441,125,268,327,0
156,80,670,800,"1,024",114,"1,334","41,595",0
"1,549",200,509,736,658,891,194,"4,822",0
"1,802",273,476,552,404,325,-69,"7,037",0
608,153,386,296,259,202,193,"4,699",0
431,242,476,993,636,143,311,"14,022",0
709,290,411,749,776,529,85,"16,171",0
"1,560",115,414,358,232,166,226,"2,562",0
54,261,142,"1,102",516,159,547,"35,412",0
633,62,439,264,471,77,438,"8,811",0
314,183,524,301,431,238,531,"12,965",0
256,254,446,708,495,323,-173,"18,016",0
"1,087",205,392,566,535,383,135,"1,891",0
16,193,591,713,602,314,741,"33,334",0
976,77,346,130,484,198,590,"15,867",0
"2,028",59,397,-369,348,298,206,307,0
"1,054",110,755,207,541,169,442,"14,068",0
"2,148",-8,495,-151,365,230,401,"24,133",0
368,64,216,924,680,238,698,"36,705",0
757,180,562,708,198,184,148,"12,566",0
"1,165",166,200,258,183,263,45,550,0
"1,569",387,778,723,473,802,462,"6,050",0
"1,517",54,815,-103,355,165,219,963,0
423,202,489,498,377,144,227,"4,654",0
"2,748",132,325,452,294,211,150,361,0
634,244,525,556,467,100,134,527,0
266,216,362,"1,282",807,468,679,"38,336",0
104,113,706,263,813,86,368,"3,916",0
463,106,408,146,256,308,467,"17,899",0
"1,511",153,459,985,580,440,351,"12,639",0
"1,277",206,614,451,575,85,263,"3,398",0
944,441,659,"1,427",882,460,246,"15,753",0
"5,200","4,829",15,"2,050",457,"45,787",271,"22,151",0
"1,844",19,339,-8,285,266,165,293,0
611,93,324,-64,212,165,155,"2,394",0
653,298,504,549,544,-44,84,"12,333",0
"2,420",70,661,-20,280,322,168,647,0
295,125,327,216,463,241,324,"5,718",0
228,175,470,788,832,209,30,"11,746",0
"1,817",-23,190,337,243,93,135,312,0
"2,915",48,167,203,313,116,170,208,0
485,198,257,419,278,236,151,"9,482",0
556,129,353,900,835,306,411,"42,420",0
498,95,709,"1,729","1,415",842,921,"32,324",0
252,84,517,"1,067",857,146,310,"18,730",0
216,137,547,261,734,-75,"1,044","20,111",0
265,111,235,528,400,175,935,"37,203",0
"1,592",109,467,186,336,411,98,408,0
"1,453",134,526,332,378,337,181,"1,729",1
747,219,441,"1,406","1,800",774,497,"25,191",0
396,79,424,279,343,370,"1,342","39,297",0
"1,898",335,"1,717",601,"1,602",929,852,"2,549",0
910,299,769,"1,332",680,452,298,"22,545",0
-121,204,821,492,476,250,215,"15,315",0
"2,236",206,698,878,457,-48,135,480,1
"2,075",38,296,279,243,-2,143,305,0
734,244,376,598,469,544,357,"9,880",0
272,6,468,359,805,73,555,"9,251",0
298,363,595,909,868,308,198,"12,584",0
"4,692",28,640,477,489,744,162,485,0
423,-16,828,203,328,285,246,"4,811",0
131,92,245,229,407,253,245,"14,075",0
"1,112",394,786,"1,644",763,"2,245",763,"21,802",0
586,394,571,"1,207",675,398,3,"6,568",0
499,174,653,-187,746,-15,"1,712","42,170",0
110,28,593,192,417,275,638,"24,869",0
378,270,516,"1,906",729,585,-79,"69,660",0
926,-16,671,197,471,238,143,"1,696",0
"1,230",82,"1,686",354,655,190,168,"1,639",0
234,111,940,416,926,178,404,"13,479",0
447,340,"1,921",778,"1,175",409,496,"37,574",0
"1,947",167,916,"1,656",638,836,65,"1,983",0
"1,083",178,338,550,331,509,15,"2,094",0
758,184,572,637,381,368,80,"1,667",0
"1,094",319,283,751,449,233,"1,831","50,675",0
682,215,799,609,523,319,252,"19,243",0
"2,634",245,674,828,485,142,125,"1,125",0
566,281,879,"1,076",738,134,259,"11,837",0
404,405,420,397,419,419,936,"39,178",0
895,106,859,242,430,36,214,666,0
"1,643",218,612,518,"1,011",752,765,"19,608",0
"1,445",90,294,181,274,72,141,244,0
258,109,311,563,286,216,206,"6,809",0
473,37,382,-69,383,94,237,"1,624",0
394,246,576,718,682,569,378,"26,545",0
"1,256",168,477,759,939,355,248,"15,699",0
"1,628",191,831,71,887,937,331,"1,330",0
852,158,550,480,457,333,135,217,0
"2,249",252,464,701,430,274,115,"1,436",0
159,-8,233,86,340,0,355,"11,682",0
814,74,466,692,355,118,205,"15,188",0
"1,334",316,481,685,264,215,502,"1,188",0
406,114,"1,295",942,"1,049",687,"1,292","37,265",0
"1,374",191,408,-102,372,569,413,"11,188",0
"1,036",99,339,360,376,421,445,"13,447",0
294,73,503,224,368,115,465,"6,354",0
485,260,406,648,885,474,842,"54,096",0
"1,037",8,488,356,549,391,172,"7,568",0
634,104,192,314,143,10,189,303,0
401,425,578,"1,196","1,701","1,083",282,"25,875",0
387,420,464,"1,084",951,516,-30,"33,826",0
764,150,205,445,384,181,-50,"6,511",0
"1,203",220,"28,925",847,481,461,229,"8,247",0
506,49,358,495,415,523,224,"19,950",0
712,24,373,299,541,54,476,"18,842",0
730,366,373,"2,011",509,"4,391",109,"1,538",0
"2,290","1,060",664,"1,311",641,"10,255",930,"30,137",0
209,107,217,-2,268,-21,114,"14,083",0
108,115,536,759,"1,106",242,690,"18,820",0
"2,189",157,537,355,435,58,145,536,0
84,191,305,296,363,261,262,"19,685",0
"1,760",99,394,-97,217,293,149,382,0
416,18,232,160,297,154,274,"25,989",0
940,39,498,227,337,237,242,"5,853",0
289,49,492,496,272,9,57,"9,338",0
242,205,426,271,429,386,584,"23,794",0
"1,127",336,779,914,677,430,501,"9,521",0
"1,176",225,434,631,521,235,-16,"3,644",0
498,135,369,218,309,246,167,"6,743",0
24,-4,808,-56,531,124,200,"1,907",0
"1,742",84,728,423,512,539,637,"19,791",0
"1,814",445,"1,330",789,910,862,348,"33,572",0
"2,146",180,538,446,442,267,169,"4,603",0
450,284,295,909,306,437,130,"10,640",0
"5,566",557,"1,316","2,511","2,080","1,592",448,"17,898",0
284,61,303,-351,270,266,163,321,0
941,301,374,558,422,297,368,"26,798",0
"1,682",151,609,706,580,114,184,"2,350",0
"2,341",166,538,397,367,274,217,442,0
180,84,237,119,231,96,257,"13,821",0
385,153,560,5,479,445,854,"16,535",0
385,163,"1,418",735,"1,602",226,913,"33,012",0
"1,024",117,520,808,476,152,359,"7,558",0
70,38,420,-85,770,44,228,"7,833",0
116,0,330,127,318,262,78,"21,488",0
771,36,228,270,187,91,98,150,0
"1,062",12,730,870,303,222,74,"2,114",0
969,88,887,555,335,240,420,"19,791",0
"1,015",196,546,498,634,"1,457",185,"12,055",0
"1,337",95,271,322,212,176,137,249,0
"2,067",222,537,"1,417",344,158,-34,"5,356",0
596,19,459,57,250,143,55,"1,445",0
-86,100,314,"1,084","1,195",963,638,"42,103",0
"2,195",111,476,816,439,195,96,"1,339",0
405,195,604,192,"1,322",457,247,"3,619",0
437,213,814,449,913,227,935,"71,059",0
723,322,491,"1,010",462,177,76,"14,355",0
442,279,365,"1,409",934,825,246,"2,984",0
"1,064",275,780,974,489,647,377,"6,305",0
521,51,579,884,451,634,164,"22,761",0
"1,461",108,450,"1,030",787,954,175,"7,028",0
"1,069",174,408,555,671,233,116,"4,437",0
378,192,918,806,673,"1,154",267,"8,133",0
951,59,226,-17,233,128,128,214,0
"1,992",92,"1,812",800,694,645,521,"18,994",0
-80,80,389,568,464,269,126,"24,482",0
322,-2,-81,"8,018","1,028",81,-182,"8,841",0
548,310,456,990,548,248,179,"10,849",0
345,47,319,112,435,228,379,"8,793",0
437,265,620,816,796,671,-47,"13,783",0
"1,246",124,470,289,404,338,236,"7,617",0
"1,016",365,576,"1,104",522,686,-1,"21,269",0
365,297,412,948,739,630,"1,105","43,215",0
509,165,421,"1,183",779,814,0,"14,539",0
626,475,636,"1,567",810,"1,121",797,"61,563",0
863,481,"1,810","2,320","1,646",944,-4,"15,861",0
38,159,155,647,235,82,-155,"19,108",0
"1,046",62,434,192,448,245,242,"5,183",0
101,256,270,422,806,132,479,"21,526",0
357,241,355,394,460,566,269,"8,611",0
653,239,716,279,410,741,95,"8,651",0
"2,133",210,"2,005",497,"1,304",101,813,"1,860",0
754,254,"2,321",356,691,551,515,"29,048",0
8,112,258,285,429,281,233,"22,455",0
398,14,629,706,437,110,589,"21,254",0
46,105,350,122,535,339,"1,164","34,641",0
724,172,591,295,407,511,488,"10,158",0
"1,344",90,"1,076",95,657,161,278,"7,706",0
192,-21,267,766,740,480,442,"35,017",0
"1,707",223,578,715,411,463,156,"4,504",0
185,218,499,608,479,178,331,"13,425",0
83,227,296,203,413,187,451,"17,676",0
-51,217,-43,"4,159","1,264",117,429,"23,457",0
"1,677",98,437,516,293,521,52,713,0
"2,329",-23,248,33,272,135,209,430,0
"1,260",50,405,873,501,58,7,"9,392",0
571,163,361,438,615,186,374,"12,827",0
"1,589",-12,532,44,412,230,141,724,0
"2,129",21,473,325,883,465,147,817,0
543,146,384,708,448,978,218,"16,993",0
"2,109",736,479,735,623,"4,507",54,"7,064",0
910,405,363,734,568,443,459,"10,473",0
250,378,"1,233",689,623,"1,049",932,"34,372",0
267,61,889,327,506,526,"1,056","25,061",0
"3,022",95,222,923,241,-52,109,743,0
331,228,197,415,355,241,"1,035","28,084",0
357,105,327,462,482,90,352,"17,319",0
833,102,610,147,430,405,151,554,0
510,134,470,359,457,88,"1,575","26,815",0
861,352,536,975,673,172,105,"8,183",0
470,202,244,988,495,493,96,"7,488",0
"1,464",188,307,404,761,145,63,506,0
67,397,782,"2,832","1,154",666,245,"20,023",0
"1,004",97,662,"1,065",536,393,223,"14,988",0
"1,588",43,312,443,291,350,78,548,0
