CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
-53,-89,21,626,138,93,"3,061",0
372,212,69,929,197,44,604,0
984,407,164,312,790,253,279,0
"5,036","1,246",153,"1,121",914,266,"3,167",0
"1,380",-32,115,989,370,42,653,0
254,290,97,"1,461",247,88,830,0
"1,905",439,99,774,442,142,"1,547",0
"1,309",843,205,"1,249",526,285,"1,543",0
-26,636,111,"1,107",157,188,"1,255",0
806,530,100,"1,884",288,169,"1,553",0
748,462,151,168,413,459,773,0
"1,643",256,103,"1,098",706,209,"3,618",0
"1,703","1,244",61,"1,090",567,194,"1,723",0
"4,995",663,207,254,768,199,"1,374",0
"3,107","1,210",81,899,816,105,"2,552",0
"2,315",847,140,"1,364",782,348,"1,048",0
"3,637",-58,52,"1,138",407,130,896,0
"2,029",30,83,735,509,162,"1,557",0
"5,146","2,156",139,575,911,305,948,0
538,798,77,890,197,31,544,0
"2,170",830,98,"1,374",487,177,"2,366",0
"2,919",776,-60,908,836,-104,959,0
751,212,65,85,181,144,445,0
750,698,70,771,246,146,987,0
"6,498","2,946",89,"1,001",774,545,"4,268",0
"2,307",535,68,"1,029",267,352,877,0
"1,824",546,82,"1,109",325,110,"1,486",0
662,286,86,343,245,180,"1,180",0
"1,346","1,099",97,753,445,373,"2,017",0
799,136,34,972,129,120,402,0
"5,626","1,341",301,824,914,602,"3,367",0
898,-368,21,886,181,15,272,0
323,729,59,172,207,387,439,0
"8,963","1,162",136,919,701,269,"1,769",0
645,64,116,"1,032",331,111,"2,175",0
"1,538",496,-56,520,315,151,751,0
341,182,47,144,190,253,622,0
"4,169","1,167",144,718,543,404,"1,259",0
"2,315",969,122,398,725,161,"1,136",0
971,"1,248",161,"1,304",503,341,"6,356",0
"3,393","1,491",188,"2,125",494,385,"1,407",0
"5,962",667,132,735,523,280,"2,380",0
"11,399",766,110,191,"1,091",140,"1,075",0
"2,677","2,550",243,62,698,714,"2,396",0
534,-93,79,"1,554",213,123,431,0
607,"1,263",190,953,553,534,"3,212",0
905,162,44,"1,718",204,122,857,0
"8,065","1,611",250,"3,001","1,032",728,"7,078",0
290,128,66,"1,098",199,121,912,0
"3,369",579,172,379,589,395,"1,715",0
"1,273",485,108,"1,845",313,123,"2,111",0
"2,582","1,441",138,826,470,338,"1,786",0
"4,685",-85,28,413,434,95,528,0
"1,234",291,89,427,279,121,897,0
"2,436",282,66,685,495,168,548,0
726,"1,354",146,"1,840",408,358,"1,274",0
"4,895",789,66,"1,919",356,258,"1,258",0
"8,256","1,367",141,"1,016",665,292,"1,987",0
"2,839",155,96,501,645,61,347,0
"3,082","1,505",82,944,624,318,"3,265",0
"2,675",270,125,"1,235",611,149,"1,821",0
"1,338",252,43,-50,167,92,368,0
871,222,79,"1,244",231,208,"3,269",0
"1,661",346,115,395,601,212,871,0
617,628,107,"1,888",426,255,"3,037",0
"1,893",180,62,611,255,112,515,0
"2,650",-31,92,679,555,69,"1,226",0
"1,195",82,141,"1,341",445,187,539,0
"12,700","1,810",183,"2,098","1,148",356,"3,726",0
"2,192",340,128,856,751,201,"1,035",0
135,"1,542",158,"2,274",399,398,"1,695",0
"4,016","2,587",142,611,"1,244",255,"1,628",0
419,28,71,"1,152",241,189,-69,0
868,261,34,338,147,86,106,0
667,646,201,325,231,"1,416","29,003",0
622,120,53,"1,324",343,42,13,0
897,858,108,472,208,212,"1,316",0
"30,649","5,090",215,-17,810,229,"1,007",0
242,235,82,"1,145",251,198,91,0
92,965,-13,645,431,275,240,0
937,-69,55,513,150,48,900,0
"2,177","1,240",190,930,637,395,"2,023",0
729,"1,361",157,"1,558",538,306,"1,763",0
"3,830",430,94,"1,328",855,241,"1,812",0
535,322,114,"1,380",311,316,818,0
"1,678",-111,92,"1,220",596,32,445,0
"1,383",126,76,707,248,97,"1,087",0
338,-75,59,640,128,131,537,0
"1,665","1,840",244,556,474,603,"1,419",0
-98,-42,42,240,111,220,363,0
"1,241",-2,52,806,245,90,843,0
"4,280","1,035",86,662,555,111,"2,014",0
"2,731",597,70,525,551,114,-21,0
722,183,94,"1,262",598,59,454,0
173,864,91,"1,201",206,201,"1,375",0
994,"1,170",74,"1,838",275,242,"1,551",0
"3,612",469,81,398,740,63,"1,250",0
"5,569","1,147",77,321,589,115,608,0
"3,767","2,560",102,164,556,207,649,0
"1,703",329,151,426,592,303,-269,0
"2,940","1,701",152,833,654,505,"1,690",0
"3,656","1,757",93,538,405,615,"1,729",0
474,"1,177",60,"1,248",167,-14,487,0
"1,335",706,105,"1,443",423,192,721,0
970,-2,65,"1,688",526,12,"1,623",0
319,638,89,413,186,317,528,0
"1,374","1,335",233,"2,510",956,475,"3,653",0
"2,201",477,122,543,368,104,"1,184",0
331,879,24,193,269,188,36,0
"4,024",853,115,858,813,277,"3,128",0
241,881,61,"1,149",210,175,"1,361",0
"5,641","1,605",120,"2,425","1,012",341,"4,731",0
"2,255",411,205,247,471,498,-24,0
"4,170","1,936",111,721,725,414,"1,879",0
"4,031",941,82,884,975,330,"2,813",0
828,449,77,"1,378",201,231,463,0
102,670,96,659,202,237,"1,029",0
"1,103",907,218,813,505,547,"1,339",0
"1,049",274,54,954,192,144,"1,538",0
969,-117,64,591,324,154,217,0
"43,520","2,815",341,154,"1,016","1,208","19,056",0
"1,040",494,62,"1,099",316,145,"1,090",0
"1,614",366,101,527,296,337,"1,390",0
371,260,63,"1,497",206,197,"2,276",0
