Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate,Cells per well
A6,"198,837","204,466","101,354","2,270","-1,156","1,671",354,606,"34,708",518,"12,391",Y,3,9
A15,"90,972","124,993","55,148",224,-152,556,-33,492,"11,357",325,"2,389",Y,3,6
A17,"94,320","115,797","28,657","3,150",-318,457,71,226,"10,877",189,230,Y,3,20
A20,"109,583","122,251","35,028","2,102",-141,656,-88,255,"6,027",193,268,Y,3,6
B2,"118,321","150,286","83,080",-505,-555,461,200,415,"17,761",84,"14,637",Y,3,3
B3,"85,079","123,259","55,420",379,-573,617,136,23,"18,249",571,"13,982",Y,3,1
B14,"116,370","138,278","50,613","1,184",-400,979,172,950,"14,001",504,"2,061",Y,3,7
B18,"112,324","117,526","25,427","1,819",-103,353,-60,272,"4,315",316,380,Y,3,7
B21,"96,250","132,518","36,840","4,920",-355,413,-1,267,"13,865",524,"1,925",Y,3,2
B22,"80,997","126,038","55,503","1,420",-148,927,286,"1,037","11,804",765,"2,903",Y,3,6
C15,"117,799","126,042","26,463","1,560",-114,406,74,278,"7,225",641,298,Y,3,8
C17,"111,521","128,846","38,805",989,-44,708,126,370,"6,899",729,346,Y,3,40
C19,"123,550","144,040","36,406","2,760",-480,716,46,-452,"13,626",460,"21,726",Y,3,2
C20,"109,335","120,499","22,156","1,135",-259,314,90,174,"7,619",474,217,Y,3,7
D16,"132,857","148,884","36,300",166,-477,340,8,-304,"17,053",103,"21,451",Y,3,4
D19,"95,116","113,469","49,938","3,692",-79,528,90,447,"7,032",964,667,Y,3,3
E16,"98,638","120,352","29,167","1,881",-322,540,6,230,"9,227",418,306,Y,3,20
E17,"122,082","130,595","35,843","3,799",-252,590,30,323,"9,136",254,520,Y,3,2
E19,"111,785","134,470","27,076","4,705",-352,437,-15,232,"11,731",-66,"2,300",Y,3,20
F14,"107,631","115,159","22,975","2,368",49,360,40,-174,"8,597",84,"10,760",Y,3,3
F19,"107,701","141,073","80,499","3,006",-97,"1,390",89,"1,146","8,622",422,"1,168",Y,3,7
F22,"123,633","135,657","26,894","2,665",-330,487,-73,191,"9,399",154,"1,768",Y,3,4
G18,"122,888","152,805","39,875","5,103",-516,713,125,122,"13,011",689,"4,293",Y,3,2
G19,"116,116","141,688","28,684","2,084",-289,429,86,125,"9,585",258,"2,052",Y,3,2
G21,"102,907","139,523","25,434",112,-115,349,86,46,"9,335",378,"4,389",Y,3,8
H20,"120,961","130,820","38,237",419,-83,741,2,334,"8,258",492,"6,003",Y,3,6
I18,"131,627","177,477","55,489","2,582",-559,818,102,468,"19,624",354,"1,610",Y,3,10
I21,"101,357","113,199","18,758","1,915",51,151,20,187,"1,514",343,204,Y,3,6
O17,"89,522","128,879","36,038","1,361",-198,210,16,97,"12,202",-22,"9,207",Y,3,17
A2,"77,179","129,835","32,637","1,994",-929,518,-140,-170,"18,892",47,"7,080",Y,4,2
A3,"105,612","113,725","28,396","2,537",-362,450,-43,168,"13,530",421,620,Y,4,4
A5,"140,364","154,987","51,878","4,559",-369,729,-118,436,"14,654",669,783,Y,4,7
A6,"95,024","119,914","30,048","1,031",6,232,133,140,"4,721",641,315,Y,4,2
A8,"72,886","112,349","34,025","2,733",-80,355,88,486,"3,144",129,524,Y,4,9
A9,"117,482","120,618","25,798","2,868",-366,585,31,161,"9,167",702,340,Y,4,7
A11,"119,357","157,351","66,611","4,311",-471,394,157,-867,"15,493",108,"34,221",Y,4,2
A13,"134,695","158,322","52,373","3,850",-854,367,215,184,"27,302",722,"5,328",Y,4,3
A17,"90,721","129,786","36,112","4,388",-395,485,42,267,"11,771",-73,"1,818",Y,4,6
A21,"191,302","219,269","119,082","6,206",-413,274,621,"-1,682","32,259",-30,"65,768",Y,4,2
B4,"102,584","120,123","20,889","3,541",-398,442,77,53,"10,597",-58,"3,651",Y,4,4
B9,"114,403","148,486","38,977","2,455",-326,704,278,340,"10,724",401,"2,905",Y,4,2
B15,"133,363","151,485","57,981","2,133",-931,"1,327",-21,372,"26,304",439,"4,682",Y,4,2
B22,"121,822","129,933","34,478",777,-513,462,128,352,"14,561",452,"1,506",Y,4,2
