Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate
A1,"98,265","125,473","23,995","2,860",-329,422,73,295,"7,619",58,462,Y,1
A2,"106,410","122,121","26,430","4,107",-413,280,-79,27,"8,143",902,"1,042",Y,1
A3,"98,020","135,647","30,265","3,368",-139,539,81,190,"5,985",911,"2,558",Y,1
A4,"91,934","134,004","37,340","2,766",-468,367,29,-64,"15,056",514,"9,798",Y,1
A5,"99,586","120,840","30,584",726,-40,247,86,247,"3,310",147,332,N,1
A6,"102,804","117,966","23,777","2,200",-484,575,72,264,"10,046",99,"1,980",N,1
A7,"87,364","115,377","23,248","1,834",-322,281,114,40,"9,171",41,"4,502",N,1
A8,"82,633","124,696","39,078","4,411",131,637,113,396,652,238,421,N,1
A9,"93,766","114,104","24,064","2,851",-246,382,102,129,"7,061",60,"3,452",Y,1
A10,"107,444","145,675","37,317","3,335",-382,924,17,-325,"11,597",203,"16,095",N,1
A11,"99,523","128,844","31,296","3,483",-373,707,98,284,"9,898",901,300,N,1
A12,"109,361","122,255","23,324","3,093",-231,349,51,12,"10,881",287,"6,692",N,1
A13,"81,473","119,624","55,094",378,-204,497,3,422,"10,090",337,716,N,1
A14,"89,795","131,590","36,271",141,-567,399,144,-184,"16,339",8,"12,883",N,1
A15,"103,919","126,906","25,342","2,267",-109,369,27,157,"12,436",530,"2,701",Y,1
A16,"153,850","167,863","81,472","1,292","-1,059",312,153,-715,"25,974",38,"36,858",N,1
A17,"104,773","139,717","53,467","1,493",-503,442,88,433,"12,088",565,395,N,1
A18,"105,434","144,870","39,273",554,-473,933,58,152,"16,256",714,"10,602",N,1
A19,"92,479","119,201","26,807","1,786",-466,304,65,174,"11,545",517,"2,064",N,1
A20,"107,930","121,551","26,078","1,871",-115,238,100,182,"2,997",235,261,Y,1
A21,"114,018","137,033","36,360","1,950",-436,584,67,278,"11,693",19,"3,114",N,1
A22,"159,764","178,045","40,800","5,067",-511,494,185,-506,"15,798",194,"20,258",N,1
A23,"122,441","139,607","21,600","3,291",-184,541,-16,150,"5,619",411,"2,826",N,1
A24,"101,812","130,769","41,040","1,996",-609,750,212,299,"19,055",385,389,Y,1
B1,"108,971","114,845","31,040","2,557",-224,454,88,466,"7,001",42,"2,707",N,1
B2,"116,580","140,514","67,737","3,179",-811,587,66,674,"20,126",663,"5,711",N,1
B3,"109,267","122,658","32,423","1,554",-158,285,30,229,"3,353",800,273,N,1
B4,"107,197","119,042","21,390","2,448",-347,411,15,161,"8,432",443,"1,832",Y,1
B5,"76,920","108,466","38,584",612,683,500,161,322,"9,669",347,571,N,1
B6,"128,990","150,274","71,451","4,976","-1,316","1,139",150,251,"41,449",224,"12,326",N,1
B7,"120,234","146,636","42,553","6,931",106,440,-6,255,"16,384",523,"1,692",Y,1
B8,"113,595","146,074","38,498","2,188",-523,864,-8,381,"19,812",449,"2,658",N,1
B9,"83,808","116,491","23,217","2,474",-336,279,147,161,"8,297",373,"1,788",N,1
B10,"88,929","116,785","27,007","2,083",-138,367,30,279,"7,346",643,325,N,1
B11,"113,131","129,453","23,719","3,987",-300,347,-110,235,"10,649",57,"2,217",Y,1
B12,"108,656","126,805","25,766","2,739",-237,397,64,168,"6,718",742,904,Y,1
B13,"83,611","119,758","29,030","1,436",-175,530,0,-214,"9,047",41,"11,504",N,1
B14,"79,138","120,356","42,062","3,185",-497,455,-18,132,"14,728",297,"8,103",N,1
B15,"80,331","127,768","50,098","1,662",-232,584,40,717,"5,539",386,552,N,1
B16,"101,035","119,346","29,764",368,-508,496,87,150,"12,945",647,"3,916",N,1
B17,"86,205","113,535","40,652",179,-326,683,-17,241,"11,810",158,"2,962",Y,1
B18,"119,756","141,656","31,113","4,261",-238,480,146,191,"9,650",0,"3,923",N,1
B19,"116,996","147,292","43,997","1,684",-651,819,36,182,"17,596",351,"7,847",Y,1
B20,"107,940","137,337","49,998",881,-904,880,-147,185,"24,546",117,"9,307",N,1
B21,"124,168","153,667","63,041","2,083",-82,667,237,812,"9,160",255,"1,701",N,1
B22,"102,015","142,019","29,805",844,-334,849,-50,29,"11,546",52,"8,865",N,1
B23,"121,127","156,522","42,714","2,917",-612,775,97,449,"15,234",825,"1,020",N,1
B24,"102,741","119,484","23,053","1,817",-491,280,133,62,"11,974",232,"3,635",N,1
C1,"98,623","128,882","28,916","4,819",-620,562,45,239,"14,171",-84,"1,435",Y,1
C2,"93,623","156,870","68,921",-80,-289,835,23,883,"12,698",456,"7,834",N,1
C3,"107,915","132,448","25,878","1,706",-534,693,239,218,"13,611",391,"3,414",N,1
C4,"122,203","155,006","101,723","1,815",-171,"1,001",320,"1,555","16,250",691,"2,047",N,1
C5,"201,217","210,988","64,514","3,274","-1,296","1,147",465,0,"36,328",-180,"17,606",N,1
C6,"97,385","109,265","21,225","2,321",-207,362,-25,169,"3,168",81,261,Y,1
C7,"116,137","123,694","28,612","2,577",-141,625,-9,-27,"6,538",158,"4,324",N,1
C8,"107,322","124,740","36,086","5,047",7,254,91,219,"2,381",602,193,N,1
C9,"112,622","157,022","80,993","1,217",-365,590,140,157,"17,245",441,"18,785",N,1
C10,"134,469","142,183","44,867","4,341",-701,734,154,184,"23,586",265,"10,530",N,1
C11,"106,720","152,848","47,489","4,173",-676,518,287,-605,"18,253","1,025","28,334",N,1
C12,"178,589","203,845","49,676","5,790",-587,"1,144",100,334,"26,497",80,"10,993",Y,1
C13,"103,676","148,190","62,227","3,367",-474,526,111,452,"15,034",348,"1,845",N,1
C14,"95,804","111,495","17,808","3,359",-256,198,51,155,"5,920",215,337,N,1
C15,"106,671","114,935","20,424","2,828",-68,357,-98,130,"7,691",286,188,Y,1
C16,"182,508","204,040","76,869","2,546",-137,"1,117",202,900,"21,373",685,"3,714",Y,1
C17,"115,097","146,934","31,062","1,933","-1,078",358,-105,90,"25,822",251,"9,066",N,1
C18,"113,379","143,914","36,190","3,804",-299,776,62,393,"10,856",710,"2,797",N,1
C19,"72,720","106,703","29,654","1,870",-174,308,114,241,"5,735",884,299,N,1
C20,"100,546","116,329","36,725",-321,-456,453,-3,47,"22,845","1,017","8,064",N,1
C21,"116,599","128,049","29,930","2,988",-25,157,159,171,"2,246",207,231,N,1
C22,"95,128","114,365","33,358","1,452",-69,632,78,340,"3,550",257,483,N,1
C23,"116,790","132,345","47,691",-412,-645,606,264,166,"17,135",210,"8,580",N,1
C24,"92,755","125,023","31,543","2,809",-474,675,39,131,"14,770",847,"6,127",N,1
D1,"156,799","166,246","50,409","3,479",-264,823,-48,379,"11,507",612,"2,465",N,1
D2,"108,256","131,617","22,198","2,067",-282,430,189,286,"12,434",89,"3,130",N,1
D3,"93,479","112,596","26,238","1,685",-544,453,28,294,"13,229",277,786,N,1
D4,"88,641","114,912","32,108","2,062",-125,658,33,378,"7,224",292,526,N,1
D5,"83,951","118,961","35,693","1,506",-242,378,287,181,"10,442",75,"2,942",Y,1
D6,"77,693","115,941","24,102","2,746",-169,490,135,491,"9,772",303,"1,647",N,1
D7,"130,966","143,312","26,804","3,290",-382,681,24,127,"13,682",428,"3,255",N,1
D8,"113,119","150,528","50,639","3,859",-778,538,258,-358,"19,067",938,"17,985",N,1
D9,"104,422","121,105","25,794","3,937",-33,444,494,180,"3,173",37,352,N,1
D10,"122,134","165,911","36,205","1,907",-409,416,249,-48,"10,666",165,"12,337",N,1
D11,"121,283","151,251","77,323","4,110",-265,"1,095",48,767,"9,496",919,"5,605",N,1
D12,"92,201","122,606","29,321",841,-519,647,-37,338,"12,730",220,"1,443",N,1
