Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
A1,1,"38,458","91,647","15,042",86,88,477,242,875,25,124,744,N
A2,1,"88,977","140,983","63,236",267,265,724,148,"1,275","3,790",397,"3,682",N
A3,1,"106,041","141,477","95,645","5,152",245,594,14,541,"7,523",769,"9,732",N
A4,1,"87,592","135,057","35,845",448,204,445,51,585,"3,657",256,"7,268",N
A5,1,"99,180","138,457","67,507","1,771",289,730,174,"1,075","10,611",469,"3,197",N
A6,1,"91,657","133,344","40,340",790,155,334,88,579,"2,574",270,"3,152",N
A7,1,"80,005","126,270","56,861",-37,184,430,-43,"1,024","5,064",369,"1,633",N
A8,1,"114,033","148,185","60,223","1,859",238,321,-18,409,"3,959",136,"8,877",N
A9,1,"114,921","147,075","72,164","4,427",254,862,397,"2,705","1,563",904,"1,696",N
A10,1,"36,610","81,708","8,263",-111,28,58,-13,-3,"1,123",28,44,N
A11,1,"52,228","99,677","38,008",106,167,344,296,846,-40,308,811,N
A12,1,"82,310","118,590","29,600","1,332",234,325,-16,374,"5,668",123,314,N
A13,1,"80,539","127,100","38,266",980,160,703,136,"1,515","3,346",513,"17,444",N
A14,1,"120,090","149,346","50,269",606,423,650,174,"1,267","4,343",74,"2,710",N
A15,1,"118,237","156,018","53,409",225,363,716,78,"1,218","14,651",216,"4,509",N
A16,1,"88,470","118,543","62,601","1,011",298,558,37,784,"3,245",468,691,N
A17,1,"91,781","123,038","36,892","2,016",172,588,51,838,906,446,955,N
A18,1,"90,701","119,845","59,753",127,234,713,-70,"1,397","2,723",464,"1,734",N
A19,1,"82,022","136,138","50,805",164,199,"1,897",239,"1,616","13,905",300,"1,707",N
A20,1,"98,997","125,410","58,858",322,144,667,-21,"1,233","1,251",465,"3,647",N
A21,1,"29,001","93,364","14,880",23,88,66,591,149,"1,126",59,160,N
A22,1,"158,361","190,348","75,719","4,960",108,471,322,611,"1,835",237,"9,670",N
A23,1,"80,766","110,217","60,963","1,092",299,745,"1,705",875,"1,642",409,"1,002",N
A24,1,"40,056","107,480","27,126",-32,3,71,68,96,47,141,111,N
B1,1,"103,823","117,570","23,775","2,640",-45,437,209,434,"1,281",219,357,N
B2,1,"189,958","213,693","104,483","4,590",217,"1,377",76,"2,727",207,677,"3,259",N
B3,1,"72,170","134,002","44,535","1,745",305,764,67,872,"1,247",651,"1,959",N
B4,1,"113,733","146,907","38,001","2,945",140,"1,517",195,738,436,493,"2,006",N
B5,1,"112,122","141,294","76,349",223,181,704,110,"1,364","4,342",242,"13,335",N
B6,1,"117,146","171,177","41,986","5,697",460,873,138,"1,079","5,463",149,"13,768",N
B7,1,"79,954","115,729","59,465",160,169,599,280,391,"3,997",269,669,N
B8,1,"73,450","137,344","34,055","2,190",307,944,241,"1,158","4,612",488,"1,536",N
B9,1,"144,816","168,860","101,314","9,074",592,"1,739",240,"2,221","4,208","1,622","5,203",N
B10,1,"79,670","123,125","42,359",602,-40,826,223,"1,206","1,715",7,"6,861",N
B11,1,"73,500","122,677","22,474","1,352",388,511,206,407,"1,888",122,"9,821",N
B12,1,"88,190","124,507","31,608","1,324",593,381,-145,603,"1,759",549,"1,931",N
B13,1,"97,508","147,674","68,929",278,234,"1,433",225,"2,461","3,285",601,"11,584",N
B14,1,"84,921","128,909","47,950","1,955",180,357,121,546,"1,738",156,"10,006",N
B15,1,"86,911","146,784","55,688","1,098",434,851,127,"1,714","11,953",396,"9,994",N
B16,1,"123,092","153,668","69,933","3,896",-17,842,-167,"1,016",891,991,"1,642",Y
B17,1,"72,676","133,898","46,520",178,122,558,-11,"1,403","5,071",-91,"17,043",N
B18,1,"98,166","119,954","30,317","3,117",71,613,157,440,310,53,"2,311",N
B19,1,"62,918","130,586","36,404",660,410,484,126,"1,092","3,275",437,"3,390",N
B20,1,"79,109","112,361","23,782","3,060",102,362,59,437,938,249,"4,376",N
B21,1,"126,775","181,293","100,199","5,109",702,"1,264",427,"3,045","4,601","1,000","8,015",N
B22,1,"98,154","144,508","34,970",313,19,"1,020",108,"1,125","35,664",239,"4,798",N
B23,1,"71,498","121,027","52,614","1,718",321,645,28,"1,306","10,104",364,"1,377",N
B24,1,"70,197","127,514","28,433",489,180,273,97,556,"3,117",-99,"16,071",N
C1,1,"92,023","144,026","40,171","3,402",74,623,80,789,"5,539",713,"3,034",N
C2,1,"72,901","119,182","35,953",902,154,742,27,"1,086","2,559",507,"1,093",N
C3,1,"124,253","144,923","51,539","1,501",112,"1,277",122,"1,232","4,252",471,"14,314",N
C4,1,"85,803","149,350","68,747","2,106",618,786,213,"1,148","1,627",808,"5,523",N
C5,1,"100,942","139,673","47,839","2,466",114,805,83,"1,056","2,172",932,"3,014",N
C6,1,"62,164","116,191","24,741",310,47,256,114,355,"1,762",239,"3,234",N
C7,1,"50,227","120,051","38,944",316,209,"1,102",234,"1,879",962,95,"6,050",N
C8,1,"73,473","134,673","38,907","2,361",253,551,171,830,"1,882",776,"2,533",Y
C9,1,"100,735","145,385","52,416","2,119",5,434,192,739,"1,617",622,"7,258",N
C10,1,"91,837","141,269","83,486",324,225,700,-12,"1,101","4,287",683,"13,171",N
C11,1,"88,764","108,273","18,872","2,042",-69,450,49,287,"2,091",271,"2,557",N
C12,1,"95,896","127,042","53,220",195,9,496,496,"1,276","2,772",131,"4,160",N
C13,1,"36,966","85,504","19,680",135,108,372,267,760,-102,208,699,N
C14,1,"129,056","180,180","58,467","5,131",251,881,27,"1,309","1,225",751,"4,482",N
C15,1,"120,980","148,809","69,383","2,457",86,612,174,726,"5,267",476,"2,216",N
C16,1,"126,390","168,194","60,632","2,852",102,733,989,"1,122","1,991",892,"5,851",N
C17,1,"131,808","152,931","80,188","3,936",233,"1,094",129,"1,434","1,611",673,"1,519",N
C18,1,"121,538","129,968","81,340",152,108,897,-46,"1,454","4,591",419,"10,850",N
C19,1,"67,486","115,706","35,576",86,90,596,-35,"1,061",633,87,"4,282",N
C20,1,"88,193","130,370","57,087","4,095",361,513,249,821,"2,524",735,"2,927",N
C21,1,"28,770","82,925","15,022",38,29,72,198,186,-62,91,150,N
C22,1,"133,112","174,094","74,792","4,477",294,819,234,"1,109","1,931",406,"4,888",N
C23,1,"103,808","119,671","41,181","2,150",-14,325,70,593,186,138,"1,765",N
C24,1,"68,677","113,566","59,889","1,205",430,501,"4,817","1,563","2,341",529,"2,030",N
D1,1,"87,371","137,369","74,026",343,290,896,322,"1,859","5,138",543,"8,223",N
